smiles
CCCCCCCCC=CCCCCCCCC(=O)O
CC(=O)OC1=CC=CC=C1
OC(=O)CCCC#C
OC(=O)CNCC=C
OC(=O)CNCC#C
OC(=O)CCCC=C
OC(=O)CCNN=C
OC(=O)CC=CC=C
OC(=O)CC#CC=C
OC(=O)C#CCC=C
OC(=O)CC=NN=C
OC(=O)C=CNN=C
OC(=O)C=CCC=C
OC(=O)C1CCCC1
OC(=O)C1CCCN1
OC(=O)C1CCNC1
OC(=O)CC=CC#C
OC(=O)C=CCC#C
OC(=O)CCNCCC#N
OC(=O)C1=CCNC1
OC(=O)CCCCOC=C
OC(=O)CNCCCC=O
OC(=O)CNCCCC=C
OC(=O)CNCCCC#N
OC(=O)CNCCCC#C
OC(=O)CCCCNN=C
OC(=O)C1NCC=C1
OC(=O)C1=CNCC1
OC(=O)CCCNCC#C
OC(=O)CCCNCC#N
OC(=O)CCCNCC=C
OC(=O)C1=NCCN1
OC(=O)CCCNCC=O
OC(=O)C1=NNCC1
OC(=O)CCCOCC#C
OC(=O)C1CC=CC1
OC(=O)C1CC=NN1
OC(=O)C1CCC=C1
OC(=O)CCCOCC=C
OC(=O)CCCCCC=O
OC(=O)CCCCCC=C
OC(=O)C1CNN=C1
OC(=O)CCOCCC=C
OC(=O)CCOCCC#C
OC(=O)CCCCCC#N
OC(=O)CCCCCC#C
OC(=O)CCNCCC=O
OC(=O)CCNCCC=C
OC(=O)CCNCCC#C
OC(=O)C1=CCCC1
OC(=O)CCCCON=C
OC(=O)COCCCC#C
OC(=O)COCCCC=C
OC(=O)CNCC#CC=C
OC(=O)C1=CNC=C1
OC(=O)CC1CNCCN1
OC(=O)COC=CCC#C
OC(=O)CC=CCCC#C
OC(=O)CC=CCCC#N
OC(=O)CC=CCCC=C
OC(=O)CC=CCCC=O
OC(=O)CC=CCNN=C
OC(=O)CCCC#CC=C
OC(=O)CCON=CC=C
OC(=O)CCNN=CC#C
OC(=O)CCCC=CC#C
OC(=O)CC=CCOC=C
OC(=O)CC=CCON=C
OC(=O)CC=COCC#C
OC(=O)CNCC=CC#C
OC(=O)CNCC=CC=C
OC(=O)CNCC=CC=O
OC(=O)C1CCNCCO1
OC(=O)CCCC=NN=C
OC(=O)CCNC=CC=O
OC(=O)CCCC=CC=C
OC(=O)CC1CNCCO1
OC(=O)COCC=CC=C
OC(=O)COCC=CC#C
OC(=O)CCCC=CC#N
OC(=O)CCC=CCC#C
OC(=O)CCC=CCC#N
OC(=O)CCC=CCC=C
OC(=O)C#CCCCC=O
OC(=O)C#CCCCC=C
OC(=O)CCC=CCC=O
OC(=O)C1CCNCCN1
OC(=O)CCC=COC=C
OC(=O)CCC1CCCC1
OC(=O)COC=CCC=C
OC(=O)CC=COCC=C
OC(=O)CCNN=CC=C
OC(=O)CC=NNCC#C
OC(=O)CCCC#CC=O
OC(=O)C=CCNCC=O
OC(=O)C1C=NN=C1
OC(=O)CC=NNCC=C
OC(=O)CC=NOCC#C
OC(=O)C=CCOCC#C
OC(=O)C=CCNCC=C
OC(=O)C=CNCCC=O
OC(=O)C=CNCCC=C
OC(=O)C=CNCCC#N
OC(=O)CCC#CCC=C
OC(=O)C1C=CC=C1
OC(=O)CCC#CCC=O
OC(=O)C=CNCCC#C
OC(=O)C=CCOCC=C
OC(=O)CC=NOCC=C
OC(=O)C1CCOCCN1
OC(=O)C=CCNCC#C
OC(=O)CCON=CC#C
OC(=O)C=CCCCC#C
OC(=O)C=CCCCC#N
OC(=O)C=COCCC=C
OC(=O)CNC1CCOC1
OC(=O)C=COCCC#C
OC(=O)CNC1CCNC1
OC(=O)CC1CCOCC1
OC(=O)C=CCCCC=C
OC(=O)CNC1CCCC1
OC(=O)C=CCCCC=O
OC(=O)C=CCCNN=C
OC(=O)C=CCCOC=C
OC(=O)C=CCCON=C
OC(=O)COCC#CC=C
OC(=O)CCOC=CC#C
OC(=O)CCOC=CC=C
OC(=O)C1=NN=CC1
OC(=O)C1CNCCCN1
OC(=O)C1CNCCCO1
OC(=O)CCCC=CC=O
OC(=O)C#CCCON=C
OC(=O)CC1CCCNC1
OC(=O)C#CCCOC=C
OC(=O)CC1CCCCO1
OC(=O)CC1CCCCN1
OC(=O)CC1CCCCC1
OC(=O)CCC1CCOC1
OC(=O)C(C=C)C#C
OC(=O)C(C=C)C=C
OC(=O)C1=CCC=C1
OC(=O)C1CCCNCC1
OC(=O)C1=CC=CN1
OC(=O)C1=CC=CC1
OC(=O)C#CCCNN=C
OC(=O)C1COCCCN1
OC(=O)C1CCCCCC1
OC(=O)CN1CCOCC1
OC(=O)C1CCCCCN1
OC(=O)C1CCCCCO1
OC(=O)CN1CCCCC1
OC(=O)C1CCCCNC1
OC(=O)CN1CCNCC1
OC(=O)C(=C)CC#C
OC(=O)CC(=C)C=C
OC(=O)C(=C)CC=C
OC(=O)CC(=C)C#C
OC(=O)C1CNCCNC1
OC(=O)CCN=CNN=C
OC(=O)C1CNCCOC1
OC(=O)CCC1CCCN1
OC(=O)CC1CCNCC1
OC(=O)COC1CCCC1
OC(=O)C#CCNCC=C
OC(=O)CCN=CNC=C
OC(=O)CCC1CCCO1
OC(=O)CC1COCCN1
OC(=O)CCN1CCCC1
OC(=O)CC#CCCC=C
OC(=O)C1CCCCOC1
OC(=O)CC#CCON=C
OC(=O)CCC1CCNC1
OC(=O)CC#CCNN=C
OC(=O)CC#CCOC=C
OC(=O)C1CCCOCC1
OC(=O)CC1CCCOC1
OC(=O)CC#CCCC=O
OC(=O)C#CCOCC=C
OC(=O)C1CCCC=NN1
OC(=O)C=C1COCCN1
OC(=O)CCC1CNN=C1
OC(=O)C1CCCC=NO1
OC(=O)C1CCCC=CC1
OC(=O)C1CCCC=CO1
OC(=O)C=C1CNCCO1
OC(=O)CCC1CN=CN1
OC(=O)C1CCCCC1=C
OC(=O)C=C1CNCCN1
OC(=O)C1CCCCC=C1
OC(=O)C1CCN=CNC1
OC(=O)C=C1CCOCC1
OC(=O)C1CCNN=CC1
OC(=O)C1CCNN1C=N
OC(=O)C=C1CCCNC1
OC(=O)C1CCCON=C1
OC(=O)C1CCNCC=C1
OC(=O)C1CCNCC1=C
OC(=O)C1CCCOC=C1
OC(=O)C=C1CCCCC1
OC(=O)C1CCNC1C=C
OC(=O)C1CCNC1C#C
OC(=O)CC1CNCC=C1
OC(=O)CCOCCNCC=C
OC(=O)C=C1CCCCN1
OC(=O)C1CCN=CNN1
OC(=O)C=C1CCCCO1
OC(=O)CCC1COC=C1
OC(=O)C=C1CCCOC1
OC(=O)C1CCCOC1=C
OC(=O)C1CCOC=CC1
OC(=O)CC1CNCC1=O
OC(=O)C1CCCN1C=N
OC(=O)C1CCCN1C=O
OC(=O)C1CCCN1N=C
OC(=O)C1CCCN=CN1
OC(=O)C=C1CCNCC1
OC(=O)C1CCCNC1=O
OC(=O)CCC1NCC=C1
OC(=O)C1CCOC1C=C
OC(=O)C1CCCNN=C1
OC(=O)C1CCOC1C#C
OC(=O)CCC1OCC=C1
OC(=O)C1CCNN=CN1
OC(=O)CCC1CON=C1
OC(=O)CCOCCNCC#C
OC(=O)CC1NCCC1=C
OC(=O)CCOCCCNN=C
OC(=O)CCCCCNNC=O
OC(=O)CCCCCNCC=O
OC(=O)CCCCCNCC=C
OC(=O)CCCCCNCC#N
OC(=O)COCCCCNN=C
OC(=O)COCCCCCC#N
OC(=O)CCCOCCCC#N
OC(=O)CCCOCCNN=C
OC(=O)CCCCCOCC#N
OC(=O)C1COCCC=C1
OC(=O)CCCCCNCC#C
OC(=O)CCCCCCON=C
OC(=O)C1COCC=CC1
OC(=O)C1COCC1C=C
OC(=O)C1COCC1C#C
OC(=O)C1COC=CCN1
OC(=O)CCCCCCNN=C
OC(=O)CCCCCCNC=O
OC(=O)C1COCCC1=C
OC(=O)CCN1CC=CC1
OC(=O)CCCNCCON=C
OC(=O)CCCNCCNN=C
OC(=O)CC1CON=CC1
OC(=O)C#CC1CCCC1
OC(=O)C1NCCCC1=C
OC(=O)C1NCCC1C=C
OC(=O)C1NCCC1C#C
OC(=O)COCCNCCC=C
OC(=O)CCCCNCCC=O
OC(=O)CCCCNCCC=C
OC(=O)CCCNCCOC=C
OC(=O)CCCCNCCC#N
OC(=O)CCCCNCCC#C
OC(=O)CC1COCC=C1
OC(=O)COCCCNCC=C
OC(=O)COCCCNCC#C
